Marca temporal,¿Actualmente estás cursando TSU o Ingeniería-Licenciatura?,¿A cuál carrera perteneces?,"¿En cuanto a productos y alimentos, eres vendedor o consumidor?",¿Qué tipo de productos vendes dentro de la universidad?,¿Cuántas ventas realizas al día dentro de la universidad (sólo números)?,¿Qué tan satisfecho estas con el volumen de ventas que generas dentro de campus?,¿Consideras que una aplicación impulsaría las ventas de tus productos dentro de la universidad?,¿Estarías dispuesto a pagar por una aplicación que organice y te de contacto directo con tus clientes en la universidad?,¿Cuánto estarías dispuesto a pagar por el uso de una app para realizar tus ventas (sólo números)?,¿Cuántos productos agregarías a tu oferta si vendieras a través de una app (sólo números)?,¿Cómo promocionas habitualmente tus productos dentro de la universidad?,¿Cuántas promociones exclusivas ofrecerías para los usuarios de la app (sólo números)?,¿Estarías dispuesto a dejar que personas realicen entregas de tus productos dentro de la universidad?,¿Cuánto pagarías por que alguien realice entregas de tus pedidos (sólo números)? ,¿Qué categorías consumes dentro de la universidad?,¿Cuántas veces compras alimentos en la universidad a la semana (sólo números)?,¿Cómo calificarías la calidad de alimentos dentro de la universidad?,¿Cuánto gastas en alimentos a la semana en la universidad (sólo números)?,¿Qué tan satisfecho estás con la oferta de alimentos dentro del campus?,¿Cuántas veces a la semana usarías una app para comprar alimentos en la universidad (sólo números)?,¿Cuántas veces pides o compras fuera de la universidad  a la semana(sólo números)?,¿Qué medio utilizas para enterarte de nuevos alimentos?,¿Cuánto estarías dispuesto a pagar por envíos de tus productos (sólo números)?,¿Estás dispuesto a utilizar una aplicación que te organice todos los vendedores de alimentos dentro de la universidad?,¿Cuántas veces compras productos de papelería en la universidad a la semana (sólo números)?,¿Cómo calificarías la calidad de productos de papelería dentro de la universidad?,¿Cuánto gastas en productos de papelería a la semana en la universidad (sólo números)?,¿Qué tan satisfecho estás con la oferta de productos de papelería dentro de la universidad?,¿Cuántas veces a la semana usarías una app para comprar productos de papelería en la universidad (sólo números)?,¿Cuántas veces pides o compras fuera de la universidad a la semana(sólo números)?,¿Qué medio utilizas para enterarte de los productos de papelería en la universidad?,¿Cuánto estarías dispuesto a pagar por envíos de tus productos (sólo números)?,¿Estás dispuesto a utilizar una aplicación que te organice todos los vendedores de productos de papelería dentro de la universidad?,¿Cuántas veces compras productos de tecnología en la universidad a la semana (sólo números)?,¿Cómo calificarías la calidad de productos de tecnología dentro de la universidad?,¿Cuánto gastas en productos de tecnología a la semana en la universidad?,¿Qué tan satisfecho estás con la oferta de productos de tecnología dentro de la universidad?,¿Cuántas veces a la semana usarías una app para comprar productos de tecnología en la universidad (sólo números)?,¿Cuántas veces pides o compras fuera de la universidad a la semana(sólo números)?,¿Qué medio utilizas para enterarte de los productos de tecnología en la universidad?,¿Cuánto estarías dispuesto a pagar por envíos de tus productos (sólo números)?,¿Estás dispuesto a utilizar una aplicación que te organice todos los vendedores de productos de tecnología dentro de la universidad?,¿Cuántas compras veces regalos o accesorios personales dentro de la universidad (sólo números)?,¿Cómo calificarías la calidad de productos de papelería dentro de la universidad?,¿Cuanto gastas semanalmente en regalos o accesorios personales dentro de la universidad (sólo números)?,¿Qué tan satisfecho estás con la oferta de regalos y accesorios personales dentro del campus?,¿Cuántas veces a la semana usarías una app para comprar regalos o accesorios personales en la universidad (sólo números)? ,¿Cuántas veces pides compras regalos u accesorios personales fuera de la universidad a la semana(sólo números)?,¿Qué medio utilizas para enterarte de los productos (regalos o accesorios personales) en la universidad?,¿Cuánto estarías dispuesto a pagar por envíos de tus productos (sólo números)? ,¿Estás dispuesto a utilizar una aplicación que te organice todos los vendedores de regalos y accesorios personales dentro de la universidad?,¿Consumes alimentos dentro de la universidad? ,¿Consumes productos de papelería dentro de la universidad? ,¿Consumes productos de tecnología dentro de la universidad? ,¿Consumes productos como regalos o accesorios personales dentro de la universidad? ,¿Consumes productos de papelería dentro de la universidad? ,¿Consumes productos de regalos o accesorios personales dentro de la universidad? ,¿Consumes productos de tecnología dentro de la universidad? 
3/10/2024 14:21:17,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,"Alimentos, Regalos o accesorios personales",2,3 - Buena,100,Neutral,2,1,Amigos y compañeros,30,Sí,1,2- Neutral,,,,,,,,,,,,,,,,,1,2 Neutral,50,Neutral,2,2,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",50,Sí,,,,,,,
3/10/2024 15:28:22,TSU,Ingeniería en Mantenimiento Industrial,Consumidor,,,,,,,,,,,,"Alimentos, Tecnología",3,2 - Neutral,400,Satisfecho,4,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",20,Tal vez,,,,,,,,,,1,2- Neutral,100,Insatisfecho,1,2,Amigos y compañeros,20,Sí,,,,,,,,,,,,,,,,
3/10/2024 15:32:07,Ingeniería o Lincenciatura,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,3,2 - Neutral,300,Insatisfecho,4,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",40,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 16:32:23,TSU,Licenciatura en Gastronomía,Consumidor,,,,,,,,,,,,"Alimentos, Papelería",4,2 - Neutral,500,Neutral,3,0,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",30,Tal vez,1,2- Neutral,20,Insatisfecho,3,3,Amigos y compañeros,15,Tal vez,,,,,,,,,,,,,,,,,,,Sí,Sí,No,No,,,
3/10/2024 16:43:50,TSU,Licenciatura en Gestión y Desarrollo Turístico,Consumidor,,,,,,,,,,,,Alimentos,6,2 - Neutral,350,Neutral,5,4,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",20,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 16:48:16,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,"Alimentos, Tecnología",3,1 - Mala,100,Insatisfecho,3,0,Amigos y compañeros,100,Sí,,,,,,,,,,1,3- Buena,100,Satisfecho,2,0,Amigos y compañeros,100,Sí,,,,,,,,,,Sí,No,Sí,No,,,
3/10/2024 16:53:17,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,3,3 - Buena,300,Satisfecho,1,2,Amigos y compañeros,50,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 16:57:10,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,"Alimentos, Tecnología",1,2 - Neutral,20,Insatisfecho,2,1,Amigos y compañeros,5,Sí,,,,,,,,,,0,1- Mala,0,Muy insatisfecho,10,10,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",5,Sí,,,,,,,,,,Sí,No,Sí,No,,,
3/10/2024 17:01:29,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,2,2 - Neutral,200,Neutral,5,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",15,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 17:03:44,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,1,2 - Neutral,50,Neutral,3,3,Amigos y compañeros,10,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 17:07:21,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,"Alimentos, Tecnología",4,2 - Neutral,350,Neutral,5,3,Amigos y compañeros,15,Sí,,,,,,,,,,1,2- Neutral,100,Insatisfecho,2,0,Amigos y compañeros,15,Sí,,,,,,,,,,Sí,No,Sí,No,,,
3/10/2024 17:08:56,Ingeniería o Lincenciatura,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,,
3/10/2024 17:11:05,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,5,1 - Mala,800,Neutral,3,4,Amigos y compañeros,20,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 17:12:44,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,7,2 - Neutral,350,Neutral,2,2,Amigos y compañeros,60,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 17:14:19,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,5,1 - Mala,500,Neutral,5,2,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",20,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 17:17:24,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,"Alimentos, Regalos o accesorios personales",2,3 - Buena,100,Neutral,2,1,Amigos y compañeros,30,Sí,,,,,,,,,,,,,,,,,,,1,2 Neutral,50,Neutral,2,2,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",50,Sí,Sí,No,No,Sí,,,
3/10/2024 17:20:33,TSU,Ingeniería en Mantenimiento Industrial,Consumidor,,,,,,,,,,,,"Alimentos, Tecnología",3,2 - Neutral,400,Satisfecho,4,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",20,Tal vez,,,,,,,,,,1,2- Neutral,100,Insatisfecho,1,2,Amigos y compañeros,20,Sí,,,,,,,,,,Sí,No,Sí,No,,,
3/10/2024 17:56:23,Ingeniería o Lincenciatura,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,3,2 - Neutral,300,Insatisfecho,4,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",40,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 18:08:06,TSU,Licenciatura en Negocios y Mercadotecnia,Consumidor,,,,,,,,,,,,Alimentos,3,2 - Neutral,400,Satisfecho,4,2,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",20,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 18:24:50,TSU,Licenciatura en Negocios y Mercadotecnia,Consumidor,,,,,,,,,,,,"Alimentos, Papelería",2,2 - Neutral,300,Neutral,4,2,"Redes sociales (Facebook, Whattsapp)",40,Sí,3,2- Neutral,100,Neutral,2,3,Amigos y compañeros,30,Tal vez,,,,,,,,,,2,2 Neutral,100,Neutral,2,3,Amigos y compañeros,30,Tal vez,Sí,Sí,No,Sí,,,
3/10/2024 18:27:18,Ingeniería o Lincenciatura,Licenciatura en Gastronomía,Consumidor,,,,,,,,,,,,Alimentos,3,2 - Neutral,100,Satisfecho,3,5,"Redes sociales (Facebook, Whattsapp)",10,Tal vez,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 18:36:07,TSU,Licenciatura en Negocios y Mercadotecnia,Consumidor,,,,,,,,,,,,Alimentos,4,2 - Neutral,250,Satisfecho,0,0,Amigos y compañeros,50,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 18:42:00,TSU,Licenciatura en Negocios y Mercadotecnia,Consumidor,,,,,,,,,,,,Alimentos,5,2 - Neutral,500,Insatisfecho,2,2,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",15,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 20:16:18,Ingeniería o Lincenciatura,Licenciatura en Negocios y Mercadotecnia,Consumidor,,,,,,,,,,,,Alimentos,6,3 - Buena,850,Satisfecho,6,2,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",30,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 20:18:22,TSU,Licenciatura en Negocios y Mercadotecnia,Consumidor,,,,,,,,,,,,Alimentos,4,2 - Neutral,500,Neutral,3,2,"Redes sociales (Facebook, Whattsapp)",25,Tal vez,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 20:20:10,TSU,Licenciatura en Negocios y Mercadotecnia,Consumidor,,,,,,,,,,,,Alimentos,2,1 - Mala,100,Neutral,3,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",15,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 20:22:01,TSU,Licenciatura en Gestión y Desarrollo Turístico,Consumidor,,,,,,,,,,,,Alimentos,5,2 - Neutral,600,Satisfecho,5,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",25,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 20:27:00,TSU,Ingeniería en Energías y Desarrollo Sostenible,Consumidor,,,,,,,,,,,,"Alimentos, Tecnología",3,2 - Neutral,200,Neutral,3,2,Amigos y compañeros,20,Tal vez,,,,,,,,,,2,3- Buena,300,Muy insatisfecho,3,0,Amigos y compañeros,40,Sí,,,,,,,,,,Sí,No,Sí,No,,,
3/10/2024 20:29:42,TSU,Ingeniería en Agricultura Sustentable y Protegida,Vendedor,Alimentos,25,Satisfecho,Sí,Tal vez,50,3,"Redes sociales (Facebook, wspp), Boca a boca",3,Tal vez,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 20:35:01,TSU,TSU en Contaduría,Vendedor,Alimentos,35,Satisfecho,Sí,Tal vez,50,2,"Redes sociales (Facebook, wspp), Boca a boca",0,Tal vez,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 20:39:40,TSU,Licenciatura en Gastronomía,Vendedor,Alimentos,65,Satisfecho,Sí,Sí,150,5,"Redes sociales (Facebook, wspp), Boca a boca",4,Sí,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 20:42:55,TSU,TSU en Contaduría,Vendedor,Alimentos,20,Neutral,Tal vez,Tal vez,20,1,"Redes sociales (Facebook, wspp)",0,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 20:44:50,TSU,Licenciatura en Gestión y Desarrollo Turístico,Vendedor,Alimentos,50,Satisfecho,Tal vez,Sí,40,3,Boca a boca,1,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 20:46:23,TSU,Ingeniería en Mantenimiento Industrial,Consumidor,,,,,,,,,,,,Alimentos,3,2 - Neutral,300,Muy satisfecho,4,1,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",10,Tal vez,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 21:54:46,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Vendedor,Tecnología,1,Neutral,Sí,Sí,100,2,Boca a boca,1,Sí,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 21:56:15,TSU,Ingeniería en Mantenimiento Industrial,Consumidor,,,,,,,,,,,,Alimentos,5,2 - Neutral,400,Neutral,5,2,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",10,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 21:57:47,Ingeniería o Lincenciatura,Ingeniería en Energías y Desarrollo Sostenible,Consumidor,,,,,,,,,,,,Alimentos,3,1 - Mala,200,Insatisfecho,2,3,Amigos y compañeros,7,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 21:59:49,Ingeniería o Lincenciatura,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,"Alimentos, Tecnología",3,2 - Neutral,250,Neutral,4,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",15,Sí,,,,,,,,,,1,2- Neutral,100,Insatisfecho,1,5,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",20,Sí,,,,,,,,,,Sí,No,Sí,No,,,
3/10/2024 22:01:50,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Vendedor,Alimentos,3,Insatisfecho,Sí,Sí,50,3,Boca a boca,3,Sí,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 22:03:16,TSU,Ingeniería en Energías y Desarrollo Sostenible,Consumidor,,,,,,,,,,,,Alimentos,5,1 - Mala,350,Insatisfecho,3,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",10,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 22:07:30,TSU,Ingeniería en Mantenimiento Industrial,Consumidor,,,,,,,,,,,,Alimentos,2,2 - Neutral,100,Neutral,2,2,Amigos y compañeros,5,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 22:09:31,TSU,Ingeniería en Energías y Desarrollo Sostenible,Consumidor,,,,,,,,,,,,Alimentos,5,2 - Neutral,250,Neutral,5,0,Amigos y compañeros,5,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 22:10:40,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,5,2 - Neutral,250,Insatisfecho,5,0,Amigos y compañeros,10,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 22:11:48,Ingeniería o Lincenciatura,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,2,2 - Neutral,200,Insatisfecho,3,4,Amigos y compañeros,10,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 22:12:51,Ingeniería o Lincenciatura,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,1,1 - Mala,100,Insatisfecho,2,5,Amigos y compañeros,10,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 22:13:50,Ingeniería o Lincenciatura,Ingeniería en Mantenimiento Industrial,Consumidor,,,,,,,,,,,,Alimentos,2,1 - Mala,150,Insatisfecho,1,4,Amigos y compañeros,0,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 22:14:43,Ingeniería o Lincenciatura,Ingeniería en Energías y Desarrollo Sostenible,Consumidor,,,,,,,,,,,,Alimentos,2,2 - Neutral,200,Neutral,1,4,Amigos y compañeros,10,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 22:15:50,Ingeniería o Lincenciatura,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,1,2 - Neutral,100,Insatisfecho,2,5,Amigos y compañeros,5,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
3/10/2024 22:16:49,Ingeniería o Lincenciatura,Ingeniería en Mantenimiento Industrial,Consumidor,,,,,,,,,,,,Alimentos,2,2 - Neutral,200,Neutral,2,4,Amigos y compañeros,5,Tal vez,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,No,No,,,
